Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",71,0.02,0x7FFB6FF0C538,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",71,0.02,0x7FFB700E00E4,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",70,0.02,0x7FFB6FF127A4,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",67,0.02,0x7FFB6FF0C441,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",67,0.02,0x7FFB6FF2BD11,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledBody>b__11_0",64,0.02,0x7FFB6FF25B44,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0",62,0.02,0x7FFB700E21AC,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.GetTupleValues",62,0.02,0x7FFB6FF1A2A4,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",61,0.02,0x7FFB6FF0DBC1,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple",61,0.02,0x7FFB6FF0B3AB,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Qubit.GetQubits",61,0.02,0x7FFB6FF1BF1A,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper.CastTuple",60,0.02,0x7FFB6FF0B2BC,0,0,0,0,
"[KernelBase.dll]",59,0.02,0x7FFC1D5DC01F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.JoinArrays",58,0.02,0x7FFB6FF160BB,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",57,0.01,0x7FFBF7129C15,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",57,0.01,0x7FFB6FF23010,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",57,0.01,0x7FFB6FF0DA86,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",56,0.01,0x7FFB6FF0C3B1,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",56,0.01,0x7FFB6FF2303A,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",56,0.01,0x7FFB700E025D,0,0,0,0,
"[vcomp140.dll]",55,0.01,0x7FFC0AFD86D1,0,0,0,0,
"[Unknown]",53,0.01,0x7FFB6FDDC0B8,0,0,0,0,
