Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Simulators.SimulatorBase.StartOperation",118,0.03,"49,616",13.00,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Partial",113,0.03,619,0.16,0,0,0,0,
"System.Linq.Enumerable+SelectListIterator`2[System.__Canon,System.UInt32].ToArray",112,0.03,117,0.03,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsMathPI",107,0.03,107,0.03,0,0,0,0,
"Microsoft.Quantum.Primitive.R1Frac.<get_ControlledAdjointBody>b__13_0",106,0.03,"44,146",11.56,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsCallable",106,0.03,106,0.03,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary.Partial",106,0.03,293,0.08,0,0,0,0,
"[ucrtbase.dll]",103,0.03,107,0.03,0,0,0,0,
"dynamicClass.IL_STUB_PInvoke",102,0.03,"46,613",12.21,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.<get_Body>b__7_0",102,0.03,"16,193",4.24,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<.ctor>b__0",93,0.02,875,0.23,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsControllable",91,0.02,92,0.02,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsUnitary",88,0.02,88,0.02,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_R",87,0.02,87,0.02,0,0,0,0,
"Microsoft.Quantum.Primitive.R1Frac.<get_ControlledBody>b__11_0",85,0.02,"43,423",11.37,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsAdjointable",81,0.02,81,0.02,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",80,0.02,243,0.06,0,0,0,0,
